235 Anzac Parade Kensington 2033 NSW Australia;-33.9108957,151.2230401
1 High St Kensington 2052 NSW Australia;-33.9148449,151.2254725
1 Parliament Drive Canberra 2600 ACT Australia;-35.309535,149.1221648
1 High Street Kensington 2052 NSW Australia;-33.9148449,151.2254725
